benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_sv12	ap+jsd	bert	3	-0.201	0.19	-0.201	0.257
dwug_sv12	ap+apdp	bert	3	0.149	0.334	0.149	0.317
dwug_sv12	app+jsd	bert	3	-0.037	0.813	-0.037	0.95
dwug_sv12	app+apdp	bert	3	0.198	0.198	0.198	0.178
dwug_sv12	apd	bert	4	0.307	0.043	0.307	0.059
dwug_sv12	prt	bert	4	0.28	0.066	0.28	0.119
dwug_sv12	ap+jsd	bert	4	-0.213	0.165	-0.213	0.158
dwug_sv12	ap+apdp	bert	4	0.018	0.909	0.018	0.851
dwug_sv12	app+jsd	bert	4	0.059	0.706	0.059	0.772
dwug_sv12	app+apdp	bert	4	0.176	0.253	0.176	0.356
dwug_sv12	apd	bert	5	0.305	0.044	0.305	0.119
dwug_sv12	prt	bert	5	0.233	0.129	0.233	0.079
dwug_sv12	ap+jsd	bert	5	-0.015	0.923	-0.015	0.871
dwug_sv12	ap+apdp	bert	5	0.228	0.137	0.228	0.119
dwug_sv12	app+jsd	bert	5	-0.157	0.309	-0.157	0.297
dwug_sv12	app+apdp	bert	5	0.151	0.328	0.151	0.356
dwug_sv12	apd	bert	6	0.242	0.113	0.242	0.178
dwug_sv12	prt	bert	6	0.206	0.179	0.206	0.158
dwug_sv12	ap+jsd	bert	6	-0.129	0.405	-0.129	0.416
dwug_sv12	ap+apdp	bert	6	0.221	0.15	0.221	0.218
dwug_sv12	app+jsd	bert	6	0.1	0.52	0.1	0.594
dwug_sv12	app+apdp	bert	6	0.211	0.169	0.211	0.119
dwug_sv12	apd	bert	7	0.237	0.121	0.237	0.119
dwug_sv12	prt	bert	7	0.178	0.248	0.178	0.238
dwug_sv12	ap+jsd	bert	7	-0.07	0.654	-0.07	0.554
dwug_sv12	ap+apdp	bert	7	0.245	0.108	0.245	0.119
dwug_sv12	app+jsd	bert	7	0.195	0.205	0.195	0.178
dwug_sv12	app+apdp	bert	7	0.295	0.052	0.295	0.079
dwug_sv12	apd	bert	8	0.248	0.105	0.248	0.099
dwug_sv12	prt	bert	8	0.197	0.2	0.197	0.257
dwug_sv12	ap+jsd	bert	8	0.124	0.421	0.124	0.475
dwug_sv12	ap+apdp	bert	8	0.279	0.066	0.279	0.079
